word,description,label
bo tao bo beh,(from hokkien  l y l   lit. 'no head no tail / no beginning no end') a story that has no linkage.,0
bo tao boh be,(from hokkien  l y l   lit. 'no head no tail / no beginning no end') a story that has no linkage.,0
bo tao boh beh,(from hokkien  l y l   lit. 'no head no tail / no beginning no end') a story that has no linkage.,0
boh tao bo be,(from hokkien  l y l   lit. 'no head no tail / no beginning no end') a story that has no linkage.,0
boh tao bo beh,(from hokkien  l y l   lit. 'no head no tail / no beginning no end') a story that has no linkage.,0
boh tao boh be,(from hokkien  l y l   lit. 'no head no tail / no beginning no end') a story that has no linkage.,0
boh tao boh beh,(from hokkien  l y l   lit. 'no head no tail / no beginning no end') a story that has no linkage.,0
bo zheng hu,(from hokkien/teochew  l f   lit. 'no government anarchy') used to describe a lack of governance or authority.,0
boh zheng hu,(from hokkien/teochew  l f   lit. 'no government anarchy') used to describe a lack of governance or authority.,0
boleh,(from malay) can; possible. sometimes used sarcastically to refer to one's inability to do something.,1
botak,(from malay) used to describe someone bald. this term inspired the famous botak jones in singapore.[15],0
buay,(from hokkien _/ l bu_) means 'cannot'.,0
buaya,(from malay) literally means 'crocodile'. refers to a womanizer or flirt.[16],0
buay pai,(from hokkien  l  bu_-ph_i_ lit. 'not bad' mandarin equivalent:   _) this is commonly used for food saying that it isn't very bad or not bad. it can also be applied to other things.,0
buay song,(from hokkien  l n bu_-s_ng mandarin equivalent:    n) to be unhappy or angry about something.,4
buay gan,(from hokkien  l f bu_-gan mandarin equivalent:   _ z) useless.,0
kan,(from hokkien  l f bu_-gan mandarin equivalent:   _ z) useless.,0
buay steady,(from hokkien and english) usually used to reply to someone whose conduct spoils the pleasure of others. a spoilsport. see steady.,0
buay tahan,(from hokkien buay and malay tahan) means 'unable to withstand' or colloquially cannot stand it i.e. intolerable. see tahan.,2
catch no ball,unable to understand something that someone says. directly translated from hokkien term liek boh kiew / liak bo kiu.,0
cert,(from english) abbreviation of 'certificate'. e.g. can copy your cert or not?,0
chao,(from hokkien/teochew   chh_u lit. 'smelly') 1. used to refer to foul smells. 2. used to describe cheating or playing foul (jiak chao) in a game.,0
chow,(from hokkien/teochew   chh_u lit. 'smelly') 1. used to refer to foul smells. 2. used to describe cheating or playing foul (jiak chao) in a game.,0
chao keng,(from hokkien) feigning sickness or injury. commonly used during national service to describe recruits who pretend to be unwell to avoid participating in certain activities. sometimes shortened to keng.,0
chao mugger,(from hokkien) someone who frequently crams for tests for fear of failure.,3
chap lau chu,(from hokkien) a colloquial term to describe 10-storey flats.,0
char bor,(from hokkien/teochew  d y cha-b_) girl/woman.,0
zha bo,(from hokkien/teochew  d y cha-b_) girl/woman.,0
chee bai,(from hokkien    y chi-bai lit. 'vagina-cunt') cb for short.[17] means vagina but used mainly as a swear word. see jibai.,4
chee ko pek,(from hokkien/teochew) hokkien or teochew slang for 'pervert' or 'dirty old man'. sometimes used by children on riding an object.,4
cheena,(from peranakan/malay) originated from malay spelling cina. a derogatory term used to denote people exhibiting very unpolished behaviour or mannerisms deriding their chineseness. basically to denote the uncultured (from an anglophone standpoint) any occasionally be used to denote chinese people.,3
cher,corruption & abbreviation of teacher.,0
tcher,corruption & abbreviation of teacher.,0
chicken business,(from english and cantonese) direct translation of the cantonese slang   _ (lit. 'do chicken') which means to prostitute oneself (chicken is the slang term for a prostitute).,4
chim,(from hokkien/teochew  ` lit. 'deep') used to describe something or a situation that is extremely hard to understand or comprehend. wah you hear how he talk so chim hor!,1
cheem,(from hokkien/teochew  ` lit. 'deep') used to describe something or a situation that is extremely hard to understand or comprehend. wah you hear how he talk so chim hor!,1
chinaman,(from english) a crude term to call immigrants or foreign workers from the prc.,3
chin chai,(from hokkien/teochew   m chh_n-chh_i) when applied colloquially it means 'anything' or 'whatever'. used in situations when one does not feel like making a decision and wants another to help him/her make a decision. can also be applied to situations to do something in a half-hearted manner.,0
chio bu,(from hokkien  n   chhi_-b_) hokkien equivalent of buxom woman. used to describe a woman but in a derogatory manner. however nowadays teenagers often use it to genuinely describe/compliment a pretty girl/woman.,0
chiong,(from hokkien   ) to rush or to charge.,0
chiong sua,(from hokkien  ĥs lit. 'charge up a hill') otherwise used as a more exaggerated form of chiong. in national service or the singaporean military context the literal meaning may be implied.,0
chop,(from malay cap which is from hindi ___ _h_p lit. stamp[19]) refers to stamp or seal.[20],0
chop chop,(from english) used to tell someone to do something fast.,0
chope,slang for reserving a seat.[19] derived from chop; to leave a mark. singaporeans have a habit of leaving objects on seats or tables to reserve places (usually tissue packets). sometimes also pronounced as simply chop.,0
chiu kana kah kah kana lum pah,(from hokkien  �_y   a     y_ k lit. 'hands like feet feet like testicles') used to describe a clumsy person. see also kah kenna chiu chiu kenna kah.,0
cmi,(from english) an acronym for can't make it pronounced letter by letter (c m i).,0
cockanaathan,(from tamil) similar meaning to 'cock fella'. extreme term for useless or stupid.,3
corright,(from english) shortened corruption/amalgamation of the words correct and right. to confirm that something is correct and right. rarely used.,0
ta pau,(from cantonese    ] daa2 baau1) take away (used only when cooked food is concerned). e.g. da bao food,0
ta pao,(from cantonese    ] daa2 baau1) take away (used only when cooked food is concerned). e.g. da bao food,0
ta bao,(from cantonese    ] daa2 baau1) take away (used only when cooked food is concerned). e.g. da bao food,0
damn,(from english)-ery.,0
dey,1. (from tamil) to call someone in a friendly informal way. same as hey!. only to be used towards friends or someone of the same age. e.g. dey! what are you doing? 2. they.,0
diam,see t(h)iam / diam.,0
du lan,(from hokkien -_ lit. 'poke dick') 1. a swear term that means 'very pissed.' 2. used to describe someone who is very picky and who insists on following the rules literally and blindly with no accommodation for circumstances.,4
dunnid,a corruption of 'don't need'.,0
double confirm,confirm and reconfirm. used to emphasize the confirmation. also to emphasize the seriousness of the topic 'triple confirm' is also used.,0
echerly,corruption of 'actually'.,0
eeyer,(from colloquial chinese) to express disgust.,4
encik,(from malay) literally means 'mister' in malay. when used in a military context it is used to address warrant officers in the singapore armed forces. also spelled as encek.,0
eye power,(from english) sarcastic remark to describe someone who does not contribute in group work and merely watches on; this term is often associated with military officers. the term probably originated from the x-men character cyclops from marvel comics.,2
gabra,(from malay gelabah) used to describe confusion or disorganisation.[21],1
gahmen,mispronunciation of the word government; the omitted v is especially common among people from chinese-speaking backgrounds. in the modern context it is used as a substitute for the actual word when criticizing the government in written form to prevent possible legal action taken against the writer.,0
garang,(from malay) literally means 'fierce'. used to describe someone as courageous or enthusiastic.,0
geh geh,(from hokkien) means faking. usually used to describe those who are hypocritical.,1
geh kiang,(from hokkien lit. 'fake smart') may be used to describe someone who makes rash decisions without thinking or someone who pretends to know what they are doing.,1
ger,corruption of 'girl'.,0
get,(from hokkien) pronounced in the same way one would pronounce let. it means to be very cheeky. e.g. eh you know my son very 'get' one hor. when he young that time he broke a lot of my things one you leh?,0
gonecase,(from english) means that one is doomed.,2
goondu,(from tamil lit. 'fat') local meaning idiot.[22][23],2
gor chiam tua guay gu chia leng,(from hokkien    e j l       lit. 'five cents coin bigger than cart wheel') to think that one's money can go further than it can actually afford.[24],0
gostan,(from english go astern) to reverse or go in the backward direction.,0
guai lan,(from hokkien   _ lit. 'strange dick') arrogent.,0
kwai lan,(from hokkien   _ lit. 'strange dick') arrogent.,0
handphone,mobile phone. also used in other se asian countries.,0
hao lian,(from teochew  n_ haon3 li_ng2 lit. 'love to boast/show off') slang term for boast or to describe someone that is narcissistic.,1
heng,(from hokkien/teochew   ) to be lucky or fortunate. commonly used in conjunction with ah i.e. heng ah.,0
helication,corruption of education.,0
horlan,(from english) deliberate mispronunciation of holland. of uncertain origin the term is used to denote finding oneself in a far-off place or unexpected consequence usually unpleasant.,0
ho liao,(from hokkien  n f) it means done.,0
hong bao,(from mandarin    ]. pronounced ang bao in hokkien) see ang pau / ang pow.,0
hongbao,(from mandarin    ]. pronounced ang bao in hokkien) see ang pau / ang pow.,0
hong gan,(from hokkien _ l( f) lit. 'go get fucked') used when very angry or disappointed. we are screwed.,4
hong gan liao,(from hokkien _ l( f) lit. 'go get fucked') used when very angry or disappointed. we are screwed.,4
hong kan,(from hokkien _ l( f) lit. 'go get fucked') used when very angry or disappointed. we are screwed.,4
hong kan liao,(from hokkien _ l( f) lit. 'go get fucked') used when very angry or disappointed. we are screwed.,4
hosei,(from hokkien  n  ) good; well.,0
ho seh,(from hokkien  n  ) good; well.,0
ho say,(from hokkien  n  ) good; well.,0
ho seh bo,(from hokkien  n   f) how are you? see how are you? (tv series).65_,0
hosei liao,(from hokkien  n դf) the phrase means 'very good' or 'excellent' and carries the positive connotation of respite. e.g. eh wah the cher never come today ah? hosei liao i never do her homework sia! can also be used sarcastically. e.g. walao you never study for your final papers then still don't want pon? hosei liao! huat (from hokkien  o hoat) to prosper. commonly used in conjunction with ah i.e. huat ah.,0
hum ji,(from hokkien lit. 'no balls' or 'shrunken balls') a phrase that denominates cowardly behaviour. usually used on males. e.g. walao don't humji la go ask her out! james damn humji sia he see cockroach only he piss his pants sia really cmi.,2
humji,(from hokkien lit. 'no balls' or 'shrunken balls') a phrase that denominates cowardly behaviour. usually used on males. e.g. walao don't humji la go ask her out! james damn humji sia he see cockroach only he piss his pants sia really cmi.,2
hum chi,(from hokkien lit. 'no balls' or 'shrunken balls') a phrase that denominates cowardly behaviour. usually used on males. e.g. walao don't humji la go ask her out! james damn humji sia he see cockroach only he piss his pants sia really cmi.,2
humchi,(from hokkien lit. 'no balls' or 'shrunken balls') a phrase that denominates cowardly behaviour. usually used on males. e.g. walao don't humji la go ask her out! james damn humji sia he see cockroach only he piss his pants sia really cmi.,2
ini macam,(from malay) like this means to be very certain.,0
jelak,(from malay) to be overly satiated by food to the point you are repulsed by it particularly food that is too rich.,0
jiak,(from hokkien/teochew   ) to eat.,0
jiak chao,(from hokkien/teochew     chia_h chh_u lit. 'to eat grass') 1. being in a situation of having no money for daily expenses (i.e. broke). 2. to play foul in a game (slightly different pronunciation).,0
jiak zua,(from hokkien/teochew    d lit. 'to eat snake') used of a person who slacks from his duty.,0
jiak kantang,(from hokkien jiak (eat) and malay kentang (potato) lit. 'eat potato') it is a pejorative term referring to pompous condescending intellectuals who are slightly more educated about western cultures. eating more potato means more westernized than being asian (eating rice). also refers to someone displaying a western english accent that is not authentic: referring to the sound that one would make while attempting to speak with a mouthful of potato.,0
jia lat,(from hokkien/teochew    o lit. 'sapping strength') used to describe being in trouble or a terrible situation.,1
jialat,(from hokkien/teochew    o lit. 'sapping strength') used to describe being in trouble or a terrible situation.,1
jibai,(from hokkien    y chi-bai lit. 'vagina-cunt')-ulgar term for the female sexual organ; or the english equivalent of 'cunt'. also a general negative expletive/interjection in colloquial speech. abbreviates to cb in digital communication.,4
chee bye,(from hokkien    y chi-bai lit. 'vagina-cunt')-ulgar term for the female sexual organ; or the english equivalent of 'cunt'. also a general negative expletive/interjection in colloquial speech. abbreviates to cb in digital communication.,4
ci bai,(from hokkien    y chi-bai lit. 'vagina-cunt')-ulgar term for the female sexual organ; or the english equivalent of 'cunt'. also a general negative expletive/interjection in colloquial speech. abbreviates to cb in digital communication.,4
jibra,corruption of zebra.,0
jio,invite. could also mean asking someone out.,0
jilo,corruption of zero.,0
jiro,corruption of zero.,0
zilo,corruption of zero.,0
jom,(from malay) let's go.,0
kae ang moh,(from hokkien/teochew        lit. 'fake red hair') used of someone who tries to act like a westerner.,0
kah kenna chiu chiu kenna kah,(from hokkien      y  a �_y   lit. 'hands like feet feet like hands') used to describe a clumsy person. see also chiu kana kah kah kana lum pah.,0
kampong,(from malay) means 'village'.[25][26] figuratively used to refer to one's hometown or place of origin.,0
kampung,(from malay) means 'village'.[25][26] figuratively used to refer to one's hometown or place of origin.,0
kar chng,(from hokkien/teochew  u t kha-chhng) buttocks.,0
kar pak,parking lot; car park.,0
kaypoh,(from hokkien    c ke-p_) a busybody.[27] sometimes abbreviated to kpo.,0
kayu,(from malay) traditionally used to accuse that soccer matches have been fixed with shouts of referee kayu or soccer fans (i.e. that the referee was so blind to foul play from the opposing team by refusing to penalize them that he might as well have been a block of wood). also used to describe lack of spontaneity or wooden behaviour (lit. 'wood').,2
kee siao,(from hokkien) to go mad. usually this phrase is used in the context of scolding people.,2
keling kia,(from hokkien) used as a slur. an old name for tamil indians working for british (colonial days). keling or kling name for madras administration by british and kia means people or person.,3
kena,(from malay) means to be afflicted with or to suffer from something.[28] also pronounced as kana or spelled as gena/genna/kenna.,3
kena sai,(from malay kena which means 'to be afflicted with' and hokkien  _sai which means 'shit') means to get into deep shit or get into deep trouble. when kena is in this context it is more often pronounced as kana sai. another way to use it is kena sai lah! meaning bullshit.,3
kenz,(from malay) short form of kena.,3
kerlik,corruption of colleague,0
ki chia,(from hokkien) die. refers to the loading of a coffin into a hearse. the english equivalent is   up (the) lorry  .,3
kiam,(from hokkien/teochew  w ki_m) 1. salty. 2. used to describe a stingy or frugal person.,1
kiam pa,(from hokkien      lit. 'owe a beat') used to say that (the appearance or actions of) an individual evokes a desire to physically hit them.,4
kiam pah,(from hokkien      lit. 'owe a beat') used to say that (the appearance or actions of) an individual evokes a desire to physically hit them.,4
kiasi,(from hokkien  a   lit. 'afraid of dying') used in the same manner as kiasu.,0
kiasu,(from hokkien/teochew  a_) literally means to be afraid of losing.[25][28],0
kilat,(from malay lit. 'shining') means 'excellent'. commonly used in the military.,0
kong ka kiao,(from hokkien) die.,0
kopi,(from english/malay) coffee. e.g. lim kopi (drink coffee).[29] see #types of coffee.,0
kopi tiam,(from malay and hokkien  @ ة  ka-pi-th_am) literally means 'coffee shop'. 'coffee shop' in singapore refers to food centre.,0
kopitiam,(from malay and hokkien  @ ة  ka-pi-th_am) literally means 'coffee shop'. 'coffee shop' in singapore refers to food centre.,0
ku ku jiao,crude term. refers to the male genitalia. also ku ku bird.,0
la,(from chinese/cantonese   ) interjection. tagged at the end of a sentence as an exclamation but pronounced differently in questions.[30][31][32] used mainly at the end of both phrases and sentences. most speakers prefer ah at the end of questions.,0
lah,(from chinese/cantonese   ) interjection. tagged at the end of a sentence as an exclamation but pronounced differently in questions.[30][31][32] used mainly at the end of both phrases and sentences. most speakers prefer ah at the end of questions.,0
lan jiao,(from hokkien/teochew __/ z_ l_n-chi_u) means guy's private part (crude). see also si mi lan jiao.,0
lao lan,arrogant; egoistic; pretentious the same meaning as xia lan.,1
lao pei huet,(from hokkien/cantonese  y   ) to have a nosebleed. typically used as a reaction upon seeing a pretty girl.,0
lao sai,(from hokkien/teochew  ԫ ) means diarrhoea.,0
la sai,(from hokkien/teochew lit. 'stir shit') create trouble.,2
lagi,(from malay) means to want more of something.,0
leh,(from chinese   ) tagged at the end of a sentence in a similar manner as lah. used to emphasize the sentence.,0
leh chey,(from malay leceh) a gnarly troublesome problem or situation,0
lepak,(from malay) has the same meaning as relaxing.[33] e.g.: let's go lepak one corner.,0
liao,(from hokkien/chinese  f mandarin: li_o) means 'already' or 'over' or generally indicates the past tense. sometimes used as a substitute for the already used in singlish especially by chinese-speaking people. sometimes also pronounced as the mandarin le (light tone) by chinese speakers.,0
liek boh kiew,(from hokkien   _ y lit. 'catch no ball'). used when one is unable to comprehend what others are saying. see catch no ball.,0
liak bo kiu,(from hokkien   _ y lit. 'catch no ball'). used when one is unable to comprehend what others are saying. see catch no ball.,0
liddat,(from english) like (akin to) that. e.g. liddat oso can!?,0
limbu,(from hokkien ѡ   l_n-b_ lit. 'your mother') an arrogant way to say i (female).,0
lim bu,(from hokkien ѡ   l_n-b_ lit. 'your mother') an arrogant way to say i (female).,0
limpeh,(from hokkien ѡ   l_n-p_ lit. 'your father') an arrogant way to say i (male).,0
lim peh,(from hokkien ѡ   l_n-p_ lit. 'your father') an arrogant way to say i (male).,0
limpei,(from hokkien ѡ   l_n-p_ lit. 'your father') an arrogant way to say i (male).,0
lobang,(from malay) malay word which means 'hole' 'gap' or opening'; also used to describe an opportunity or chance.,0
lombang,(from hokkien/chinese) pronounced with a round o (lomh-bang) is from malay tumpang which means 'to hitch a ride'. may also be pronounced and written as lobang.,0
long zhong,(from hokkien/teochew __) altogether.,0
long zong,(from hokkien/teochew __) altogether.,0
lor,(from cantonese  o lo1) tagged at the end of a sentence in a similar manner as lah. used to emphasize and indicate that what was said should be obvious to the listener self-evident or to express inevitability.,0
luan,(from hokkien/mandarin _) hokkien word which means very messy. e.g. eh you very luan ah. you everytime lose your things siao meh?,3
lun zun,(from cantonese    ϡleon6 zeon6) means careless or clumsy.,3
macam,(from malay) like; means to resemble something.,0
mader,corruption of mother.,0
mafan,(from cantonese/mandarin  · ) troublesome.,2
mah,(from mandarin    m_) usually tagged at the end of a sentence to seek agreement or argue a point. for example cannot like that mah.,0
makan,(from malay) to eat.[34],0
makcik,(from malay) an auntie persona.,0
malu,(from malay) embarrassing; usually used when one makes a fool of him/herself.,1
mampat,(from malay) tight/firm. usually referring to a woman's posterior or clothing.,0
mang zang,(from cantonese __ mang2 zang2) means irritable or easily annoyed.,2
masakmasak,(from malay) child's play. masak by itself refers to cooking.,0
mati,(from malay) literally means 'to die'. die in the singaporean slang context means to be doomed.,3
mata,(from malay) literally means 'eye'. used as a reference to the police.,0
meh,(from cantonese    me1) usually tagged at the end of a negative question to indicate someone is exploiting a possible loophole as in mata said cannot park here but i'm parking over there. cannot meh? or to (somewhat derisively) indicate capabilities heretofore unknown as in just because you never see me running you think i cannot meh?,0
mong cha cha,(from cantonese é d d mung4 caa4 caa4) to behave in a blur manner and be unaware of what is going on around.,0
mug,(from english) to cram (for academic tests). used interchangeably with/instead of the word study.,0
neh neh,(from hokkien     ) a woman's chest or breasts.,0
neh neh pok,(from hokkien       ) nipples.,0
ngeow,(from hokkien/teochew    lit. 'cat') 1. used to describe someone who is overly meticulous or tries to find fault in everything. 2. used to refer to someone stingy.[35],3
nia,(from teochew) common used to depict the meaning of only. it is of a belittling tone. may also be used to downplay intensity.,0
nia gong,(from teochew) direct translation of 'your grandfather'.,0
nia gong de ji dan,(from hokkien/teochew) direct translation of your grandfather's egg.,0
no horse run,original hokkien expression __   (b_ b_ ch_u) used in horse racing jargon to describe a champion horse which is way ahead of the field. used to describe things (food usually) which are ahead of their peers. see also boh beh zao.,0
op,owe money pay money. an english translation of the chinese expression   ___. used in threats from loan sharks who would usually scrawl this in markers or spray paint outside debtors' units.,0
obasan,(from japanese _ c__ ob_san) used to describe someone sloppily dressed and out of fashion. usually women in an old faded t-shirt and cheap shorts carrying a plastic bag.,3
obiang,(unknown etymology possibly from hokkien or malay) used to describe someone or something that is desperately out of fashion. other variations include orbit.,0
orbi,(unknown etymology) may be used as a single term or combined to form orbi quek or orbi good which means 'serves you right'.,0
ord,(from english) short-form of operationally ready date which refers to the date on which a national serviceman completes his full-time stint of national service. and what older national servicemen called their rod or run out date.,0
ord loh,army slang. an exclaim made by servicemen close to completing his two-year mandatory service term in the army to provoke jokingly his counterparts who have yet to see the end of their service terms.,0
orh,(from english) shortened from okay meaning yes understood.,0
orh hor,used when someone has done something wrong and will now be in trouble.,0
oso,(from english) also.,0
ownself,himself/herself/myself/yourself/oneself...,0
pai kia,(from teochew   _ ph_i_-ki__ lit. 'bad kid') teochew slang for 'hooligan' or 'gangster'. commonly used to scold kids who don't appreciate their parents.,3
pai seh,(from hokkien   _ ph_i_-s_) means to be embarrassed. usually used as an apology after making an embarrassing mistake.,1
